ID	Nome	Depart.	Tempo	Número da máquina	
10		Not Set1	 02/06/2025     06:49:17	1
3		Not Set1	 02/06/2025     06:52:51	1
11		Not Set1	 02/06/2025     06:53:00	1
4		Not Set1	 02/06/2025     06:53:08	1
9		Not Set1	 02/06/2025     07:09:01	1
7		Not Set1	 02/06/2025     07:36:55	1
7		Not Set1	 02/06/2025     11:59:34	1
11		Not Set1	 02/06/2025     12:00:01	1
3		Not Set1	 02/06/2025     12:00:11	1
4		Not Set1	 02/06/2025     12:00:18	1
9		Not Set1	 02/06/2025     12:01:12	1
10		Not Set1	 02/06/2025     12:02:27	1
10		Not Set1	 02/06/2025     12:55:25	1
4		Not Set1	 02/06/2025     12:55:39	1
9		Not Set1	 02/06/2025     12:59:18	1
11		Not Set1	 02/06/2025     12:59:35	1
3		Not Set1	 02/06/2025     12:59:54	1
7		Not Set1	 02/06/2025     13:21:00	1
3		Not Set1	 02/06/2025     17:00:06	1
4		Not Set1	 02/06/2025     17:00:12	1
11		Not Set1	 02/06/2025     17:00:21	1
9		Not Set1	 02/06/2025     17:00:31	1
10		Not Set1	 02/06/2025     17:00:40	1
7		Not Set1	 02/06/2025     17:01:05	1
10		Not Set1	 03/06/2025     06:53:23	1
4		Not Set1	 03/06/2025     06:54:22	1
11		Not Set1	 03/06/2025     06:56:46	1
3		Not Set1	 03/06/2025     07:02:36	1
9		Not Set1	 03/06/2025     07:20:14	1
13		Not Set1	 03/06/2025     09:11:59	1
14		Not Set1	 03/06/2025     09:13:21	1
4		Not Set1	 03/06/2025     11:59:07	1
14		Not Set1	 03/06/2025     11:59:15	1
7		Not Set1	 03/06/2025     11:59:23	1
10		Not Set1	 03/06/2025     12:00:13	1
3		Not Set1	 03/06/2025     12:00:22	1
13		Not Set1	 03/06/2025     12:00:27	1
11		Not Set1	 03/06/2025     12:00:39	1
9		Not Set1	 03/06/2025     12:01:09	1
10		Not Set1	 03/06/2025     12:57:14	1
4		Not Set1	 03/06/2025     12:57:38	1
14		Not Set1	 03/06/2025     12:57:44	1
11		Not Set1	 03/06/2025     12:57:55	1
13		Not Set1	 03/06/2025     12:58:30	1
3		Not Set1	 03/06/2025     12:58:49	1
9		Not Set1	 03/06/2025     12:59:10	1
7		Not Set1	 03/06/2025     13:08:31	1
7		Not Set1	 03/06/2025     16:59:23	1
14		Not Set1	 03/06/2025     16:59:29	1
4		Not Set1	 03/06/2025     16:59:35	1
3		Not Set1	 03/06/2025     16:59:41	1
9		Not Set1	 03/06/2025     16:59:48	1
13		Not Set1	 03/06/2025     16:59:57	1
11		Not Set1	 03/06/2025     17:00:02	1
10		Not Set1	 03/06/2025     17:00:23	1
3		Not Set1	 04/06/2025     06:48:28	1
10		Not Set1	 04/06/2025     06:54:10	1
4		Not Set1	 04/06/2025     06:54:19	1
14		Not Set1	 04/06/2025     06:54:35	1
11		Not Set1	 04/06/2025     06:54:43	1
13		Not Set1	 04/06/2025     06:54:56	1
9		Not Set1	 04/06/2025     06:57:08	1
7		Not Set1	 04/06/2025     07:39:59	1
7		Not Set1	 04/06/2025     11:58:08	1
4		Not Set1	 04/06/2025     11:58:17	1
14		Not Set1	 04/06/2025     11:59:51	1
10		Not Set1	 04/06/2025     12:00:04	1
11		Not Set1	 04/06/2025     12:00:12	1
9		Not Set1	 04/06/2025     12:00:19	1
13		Not Set1	 04/06/2025     12:00:29	1
3		Not Set1	 04/06/2025     12:00:43	1
13		Not Set1	 04/06/2025     12:55:26	1
4		Not Set1	 04/06/2025     12:56:45	1
10		Not Set1	 04/06/2025     12:57:08	1
14		Not Set1	 04/06/2025     12:57:58	1
9		Not Set1	 04/06/2025     12:59:12	1
11		Not Set1	 04/06/2025     12:59:19	1
3		Not Set1	 04/06/2025     12:59:33	1
7		Not Set1	 04/06/2025     13:15:38	1
11		Not Set1	 04/06/2025     17:00:03	1
4		Not Set1	 04/06/2025     17:00:08	1
3		Not Set1	 04/06/2025     17:00:14	1
