Grupo;Categoria;Valor
"1. RECEITA BRUTA";"1. Receita Bruta";"186.289,91"
"";"Residencial Alfa";"181.016,02"
"";"Geração de Energia";"4.273,89"
"";"Vendas";"1.000,00"
"2. DEDUÇÕES";"2. Deduções (Impostos Venda/Devoluções)";"5.855,41"
"";"RET";"5.837,41"
"";"ISS Tomador";"18,00"
"= RECEITA OPERACIONAL LÍQUIDA";"";"180.434,50"
"3. CUSTOS OPERACIONAIS (CMV/CSV)";"3. Custos Operacionais";"162.514,11"
"";"Concreto usinado";"50.971,67"
"";"Ferragens e estruturas";"29.410,90"
"";"Folha de pagamento OBRA";"27.959,16"
"";"Locação de equipamentos e ferramentas";"20.959,50"
"";"Armação Ferragens";"7.986,70"
"";"Madeiras e formas";"7.443,34"
"";"Instalações elétricas";"2.909,00"
"";"Rescisão equipe de obras";"2.664,33"
"";"Locação de formas e escoras";"2.520,00"
"";"Material de construção";"1.334,23"
"";"Areia e Brita";"1.272,50"
"";"Uniformes e EPIs";"1.222,37"
"";"Equipamentos OBRA";"1.112,60"
"";"Folha de pagamento - 13º e Férias OBRA";"1.000,00"
"";"Vale Alimentação";"720,00"
"";"Obra Escritório";"659,71"
"";"GERIC";"623,81"
"";"Material Hidrossanitário";"455,33"
"";"Material de Limpeza";"364,00"
"";"Instalações canteiro de obras";"220,00"
"";"Água e Esgoto Obra";"214,47"
"";"Ferramentas";"212,13"
"";"Serralheria";"110,00"
"";"Material Elétrico";"84,76"
"";"Materiais de desgaste";"83,60"
"= LUCRO BRUTO OPERACIONAL";"";"17.920,39"
"4. DESPESAS OPERACIONAIS";"4. Despesas Operacionais";"77.521,97"
"";"Comissões de venda";"17.916,36"
"";"Outras Despesas";"9.793,04"
"";"Gerenciamento de Obra";"9.250,00"
"";"INSS";"8.633,76"
"";"Administração Obra";"7.000,00"
"";"Folha de pagamento ADM";"4.055,72"
"";"Veículos";"2.741,62"
"";"Pró-labore";"2.702,04"
"";"Tráfego pago";"2.364,79"
"";"Aluguel";"2.114,00"
"";"FGTS";"1.914,47"
"";"Equipamentos ADM";"1.721,88"
"";"Honorários";"1.089,00"
"";"Medicina do Trabalho";"1.055,00"
"";"Confraternizações e eventos";"822,74"
"";"Administrativas";"600,00"
"";"Marketing";"600,00"
"";"Seguros";"510,15"
"";"Softwares e sistemas";"435,39"
"";"Energia ADM";"428,94"
"";"IPTU";"395,55"
"";"Faxina";"340,00"
"";"Telefone e Internet";"289,95"
"";"Certificado Digital";"170,00"
"";"Condomínio";"120,00"
"";"Plotagens e Impressões";"117,10"
"";"Abastecimento";"100,00"
"";"Sindicatos";"100,00"
"";"Água e Esgoto ADM";"40,00"
"";"Supermercado";"36,47"
"";"Estacionamento";"36,00"
"";"Água mineral";"28,00"
"= RESULTADO OPERACIONAL";"";"-59.601,58"
"5.1 RECEITAS FINANCEIRAS";"5.1 Receitas Financeiras";"1.020,75"
"";"Devolução de juros antecipação";"1.016,82"
"";"Receitas Financeiras";"3,93"
"5.2 DESPESAS FINANCEIRAS";"5.2 Despesas Financeiras";"51.685,60"
"";"Pagamento empréstimo";"49.782,39"
"";"Juros e Encargos";"911,87"
"";"Juros Antecipação Recebíveis";"604,56"
"";"Tarifas Bancárias";"229,94"
"";"Financeiras";"112,00"
"";"Tarifa Antecipação Recebíveis";"25,00"
"";"Tarifa liquidação de boleto";"19,84"
"= RESULTADO ANTES DO IRPJ/CSLL";"";"-110.266,43"
"6. IRPJ E CSLL (Lucro)";"6. IRPJ e CSLL (Lucro)";"0,00"
"= RESULTADO LÍQUIDO DO EXERCÍCIO";"";"-110.266,43"
"NÃO CLASSIFICADO";"Sem Categoria Pai";"613,69"
"";"Sem Categoria";"613,69"
