ID;Data;Descrição;Categoria;Tipo;Status;Valor
16350;2029-02-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (36/36);Pagamento empréstimo;Despesa;Pendente;-445.85
16349;2029-01-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (35/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13533;2028-12-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (36/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11981;2028-12-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (36/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16348;2028-12-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (34/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13532;2028-11-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (35/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16347;2028-11-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (33/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11980;2028-11-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (35/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13531;2028-10-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (34/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16346;2028-10-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (32/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11979;2028-10-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (34/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13530;2028-09-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (33/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16345;2028-09-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (31/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11978;2028-09-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (33/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13529;2028-08-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (32/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16344;2028-08-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (30/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11977;2028-08-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (32/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13528;2028-07-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (31/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11976;2028-07-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (31/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16343;2028-07-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (29/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13527;2028-06-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (30/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11975;2028-06-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (30/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16342;2028-06-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (28/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13526;2028-05-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (29/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16341;2028-05-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (27/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11974;2028-05-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (29/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13525;2028-04-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (28/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11973;2028-04-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (28/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16340;2028-04-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (26/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13524;2028-03-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (27/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11972;2028-03-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (27/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16339;2028-03-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (25/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13523;2028-02-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (26/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16338;2028-02-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (24/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11971;2028-02-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (26/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13522;2028-01-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (25/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11970;2028-01-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (25/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16337;2028-01-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (23/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13521;2027-12-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (24/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11969;2027-12-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (24/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16336;2027-12-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (22/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13520;2027-11-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (23/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16335;2027-11-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (21/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11968;2027-11-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (23/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13519;2027-10-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (22/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11967;2027-10-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (22/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16334;2027-10-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (20/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13518;2027-09-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (21/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16333;2027-09-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (19/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11966;2027-09-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (21/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13517;2027-08-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (20/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11965;2027-08-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (20/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16332;2027-08-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (18/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13516;2027-07-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (19/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16331;2027-07-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (17/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11964;2027-07-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (19/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13515;2027-06-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (18/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11963;2027-06-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (18/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16330;2027-06-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (16/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13514;2027-05-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (17/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16329;2027-05-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (15/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11962;2027-05-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (17/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13513;2027-04-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (16/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16328;2027-04-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (14/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11961;2027-04-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (16/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13512;2027-03-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (15/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16327;2027-03-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (13/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11960;2027-03-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (15/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13511;2027-02-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (14/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11959;2027-02-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (14/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16326;2027-02-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (12/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13510;2027-01-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (13/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16325;2027-01-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (11/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11958;2027-01-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (13/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13509;2026-12-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (12/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11957;2026-12-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (12/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16324;2026-12-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (10/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13508;2026-11-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (11/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
11956;2026-11-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (11/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
16323;2026-11-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (9/36);Pagamento empréstimo;Despesa;Pendente;-445.85
13507;2026-10-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (10/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16322;2026-10-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (8/36);Pagamento empréstimo;Despesa;Pendente;-445.85
11955;2026-10-15;SICOOB CREDIRIODOCE - EMPRÉSTIMO FAMPE - PARCELA  (10/36);Pagamento empréstimo;Despesa;Pendente;-8170.33
13506;2026-09-18;PAGAMENTO EMPRÉSTIMO - PRONAMPE - S57 ARQUITETURA (9/36);Pagamento empréstimo;Despesa;Pendente;-1242.7
16321;2026-09-15;SICOOB AC CREDI - REPACTUAÇÃO CRÉDTIDO PJ GIRO  (7/36);Pagamento empréstimo;Despesa;Pendente;-445.85
