Table: activities | Trigger: trg_auto_notificacao_activities | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: activities | Trigger: trg_auto_notificacao_activities | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: activities | Trigger: trg_auto_notificacao_activities | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: activities | Trigger: trg_notificacao_activities | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: activities | Trigger: trg_notificacao_activities | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos | Trigger: tr_processar_regras_notificacao_contatos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos | Trigger: tr_processar_regras_notificacao_contatos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos | Trigger: tr_processar_regras_notificacao_contatos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos | Trigger: trg_auto_notificacao_contatos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos | Trigger: trg_auto_notificacao_contatos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos_no_funil | Trigger: trg_auto_notificacao_contatos_no_funil | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos_no_funil | Trigger: trg_auto_notificacao_contatos_no_funil | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contatos_no_funil | Trigger: trg_auto_notificacao_contatos_no_funil | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contratos | Trigger: trg_auto_notificacao_contratos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contratos | Trigger: trg_auto_notificacao_contratos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: contratos | Trigger: trg_auto_notificacao_contratos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: diarios_obra | Trigger: trg_auto_notificacao_diarios_obra | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: diarios_obra | Trigger: trg_auto_notificacao_diarios_obra | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: feedback | Trigger: trg_auto_notificacao_feedback | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: feedback | Trigger: trg_auto_notificacao_feedback | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: lancamentos | Trigger: trg_auto_notificacao_lancamentos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: lancamentos | Trigger: trg_auto_notificacao_lancamentos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: lancamentos | Trigger: trg_auto_notificacao_lancamentos | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: notificacoes | Trigger: Push Final Oficial | Action: EXECUTE FUNCTION supabase_functions.http_request('https://studio57.netlify.app/api/notifications/push', 'POST', '{"Content-type":"application/json","x-origem":"painel-supabase"}', '{}', '5000')
Table: pedidos_compra | Trigger: trg_auto_notificacao_pedidos_compra | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: pedidos_compra | Trigger: trg_auto_notificacao_pedidos_compra | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: pedidos_compra | Trigger: trg_auto_notificacao_pedidos_compra | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: produtos_empreendimento | Trigger: trg_auto_notificacao_produtos_empreendimento | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: produtos_empreendimento | Trigger: trg_auto_notificacao_produtos_empreendimento | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: produtos_empreendimento | Trigger: trg_auto_notificacao_produtos_empreendimento | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: sys_chat_mural_posts | Trigger: trg_auto_notificacao_sys_chat_mural_posts | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: sys_chat_mural_posts | Trigger: trg_auto_notificacao_sys_chat_mural_posts | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: sys_notification_templates | Trigger: trg_gerenciar_notificacoes | Action: EXECUTE FUNCTION auto_gerenciar_triggers_notificacao()
Table: sys_notification_templates | Trigger: trg_gerenciar_notificacoes | Action: EXECUTE FUNCTION auto_gerenciar_triggers_notificacao()
Table: sys_notification_templates | Trigger: trg_instalar_sensor_automatico | Action: EXECUTE FUNCTION auto_gerenciar_triggers_notificacao()
Table: sys_notification_templates | Trigger: trg_instalar_sensor_automatico | Action: EXECUTE FUNCTION auto_gerenciar_triggers_notificacao()
Table: usuarios | Trigger: trg_auto_notificacao_usuarios | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: usuarios | Trigger: trg_auto_notificacao_usuarios | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: usuarios | Trigger: trg_auto_notificacao_usuarios | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: whatsapp_messages | Trigger: trg_auto_notificacao_whatsapp_messages | Action: EXECUTE FUNCTION processar_regras_notificacao()
Table: whatsapp_messages | Trigger: trg_auto_notificacao_whatsapp_messages | Action: EXECUTE FUNCTION processar_regras_notificacao()
